item,unit,price,currency
Papaya (green),KG,27.5,BDT
Snake gourd,KG,45.0,BDT
Spinach (red),KG,25.0,BDT
Rice (coarse),KG,50.0,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,12.62,BDT
"Fish (live, pangasius)",KG,200.0,BDT
"Meat (chicken, broiler)",KG,182.5,BDT
Sugar,KG,127.0,BDT
"Oil (soybean, fortified)",L,161.75,BDT
Lentils (masur),KG,106.0,BDT
Chili (green),KG,240.0,BDT
"Garlic (imported, China)",KG,215.0,BDT
Gourd (bottle),KG,60.0,BDT
"Onions (imported, China)",KG,105.0,BDT
Papaya (green),KG,37.5,BDT
Snake gourd,KG,52.5,BDT
Spinach (malabar),KG,17.5,BDT
"Potatoes (Holland, white)",KG,55.25,BDT
Rice (coarse),KG,51.0,BDT
Wheat flour,KG,48.5,BDT
Sugar,KG,126.5,BDT
Oil (palm),L,145.25,BDT
"Oil (soybean, fortified)",L,152.5,BDT
Lentils (masur),KG,120.0,BDT
Bananas (ripe),1 piece,5.5,BDT
Snake gourd,KG,47.5,BDT
Spinach (malabar),KG,22.5,BDT
Spinach (red),KG,35.75,BDT
Wheat flour,KG,50.0,BDT
Eggs (brown),1 piece,12.31,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Meat (chicken, broiler)",KG,182.5,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,145.5,BDT
"Oil (soybean, fortified)",L,158.0,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,230.0,BDT
Gourd (bottle),KG,55.0,BDT
"Onions (imported, China)",KG,95.0,BDT
Papaya (green),KG,26.25,BDT
Snake gourd,KG,58.75,BDT
Spinach (malabar),KG,22.0,BDT
Rice (coarse),KG,53.5,BDT
Wheat flour,KG,63.5,BDT
Eggs (brown),1 piece,12.81,BDT
"Fish (live, pangasius)",KG,142.5,BDT
Sugar,KG,133.5,BDT
Oil (palm),L,146.5,BDT
"Oil (soybean, fortified)",L,156.5,BDT
Bananas (ripe),1 piece,3.5,BDT
"Garlic (imported, China)",KG,212.5,BDT
Gourd (bottle),KG,48.75,BDT
Papaya (green),KG,30.0,BDT
Spinach (malabar),KG,25.0,BDT
"Potatoes (Holland, white)",KG,57.75,BDT
Wheat flour,KG,52.5,BDT
Eggs (brown),1 piece,12.75,BDT
"Fish (live, pangasius)",KG,172.5,BDT
"Meat (chicken, broiler)",KG,186.25,BDT
Sugar,KG,72.0,BDT
Oil (palm),L,152.25,BDT
"Oil (soybean, fortified)",L,159.75,BDT
Lentils (masur),KG,108.25,BDT
Bananas (ripe),1 piece,4.5,BDT
"Onions (imported, China)",KG,106.25,BDT
Papaya (green),KG,38.75,BDT
Snake gourd,KG,66.5,BDT
Spinach (malabar),KG,38.75,BDT
Spinach (red),KG,66.25,BDT
"Potatoes (Holland, white)",KG,53.5,BDT
Wheat flour,KG,47.5,BDT
Eggs (brown),1 piece,12.81,BDT
"Fish (live, pangasius)",KG,185.0,BDT
Sugar,KG,128.0,BDT
Oil (palm),L,148.5,BDT
Bananas (ripe),1 piece,5.0,BDT
Chili (green),KG,230.0,BDT
"Garlic (imported, China)",KG,215.0,BDT
Gourd (bottle),KG,27.5,BDT
"Onions (imported, China)",KG,107.5,BDT
Papaya (green),KG,28.75,BDT
Spinach (malabar),KG,18.0,BDT
Spinach (red),KG,45.0,BDT
Wheat flour,KG,52.75,BDT
Eggs (brown),1 piece,12.94,BDT
"Fish (live, pangasius)",KG,170.0,BDT
Sugar,KG,127.25,BDT
"Oil (soybean, fortified)",L,160.0,BDT
Lentils (masur),KG,110.0,BDT
Bananas (ripe),1 piece,5.0,BDT
Chili (green),KG,252.5,BDT
"Garlic (imported, China)",KG,221.0,BDT
Gourd (bottle),KG,61.25,BDT
Snake gourd,KG,36.75,BDT
Spinach (malabar),KG,38.0,BDT
Spinach (red),KG,61.25,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,13.12,BDT
"Meat (chicken, broiler)",KG,190.0,BDT
Sugar,KG,129.0,BDT
"Oil (soybean, fortified)",L,158.0,BDT
Lentils (masur),KG,110.75,BDT
Chili (green),KG,270.0,BDT
"Onions (imported, China)",KG,97.5,BDT
Papaya (green),KG,31.25,BDT
Spinach (malabar),KG,13.0,BDT
Spinach (red),KG,45.0,BDT
Rice (coarse),KG,51.0,BDT
Wheat flour,KG,49.5,BDT
Eggs (brown),1 piece,13.25,BDT
Sugar,KG,130.0,BDT
Oil (palm),L,155.0,BDT
"Oil (soybean, fortified)",L,156.25,BDT
Bananas (ripe),1 piece,4.75,BDT
Chili (green),KG,252.5,BDT
"Garlic (imported, China)",KG,218.75,BDT
Gourd (bottle),KG,55.0,BDT
Papaya (green),KG,35.0,BDT
Snake gourd,KG,50.0,BDT
Spinach (malabar),KG,37.5,BDT
Wheat flour,KG,49.0,BDT
Eggs (brown),1 piece,13.19,BDT
"Fish (live, pangasius)",KG,185.0,BDT
"Meat (chicken, broiler)",KG,197.5,BDT
Oil (palm),L,147.25,BDT
"Oil (soybean, fortified)",L,153.25,BDT
Chili (green),KG,222.5,BDT
"Garlic (imported, China)",KG,206.25,BDT
"Onions (imported, China)",KG,93.5,BDT
Spinach (malabar),KG,24.75,BDT
"Potatoes (Holland, white)",KG,57.5,BDT
Eggs (brown),1 piece,13.19,BDT
"Meat (chicken, broiler)",KG,183.25,BDT
Oil (palm),L,148.0,BDT
Bananas (ripe),1 piece,4.12,BDT
"Garlic (imported, China)",KG,228.75,BDT
Gourd (bottle),KG,50.0,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,51.25,BDT
Spinach (malabar),KG,32.5,BDT
Spinach (red),KG,37.5,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,13.06,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Meat (chicken, broiler)",KG,175.0,BDT
Oil (palm),L,154.5,BDT
"Oil (soybean, fortified)",L,160.75,BDT
Lentils (masur),KG,136.5,BDT
Chili (green),KG,252.5,BDT
"Garlic (imported, China)",KG,228.75,BDT
"Onions (imported, China)",KG,99.5,BDT
Papaya (green),KG,32.5,BDT
Spinach (malabar),KG,40.0,BDT
Rice (coarse),KG,50.0,BDT
Wheat flour,KG,52.5,BDT
Eggs (brown),1 piece,12.94,BDT
"Fish (live, pangasius)",KG,165.0,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
"Oil (soybean, fortified)",L,153.0,BDT
Lentils (masur),KG,137.5,BDT
Bananas (ripe),1 piece,4.44,BDT
Chili (green),KG,217.5,BDT
"Onions (imported, China)",KG,105.0,BDT
Papaya (green),KG,28.0,BDT
Snake gourd,KG,51.25,BDT
Spinach (red),KG,37.5,BDT
Wheat flour,KG,50.5,BDT
Eggs (brown),1 piece,13.12,BDT
"Fish (live, pangasius)",KG,200.0,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,147.0,BDT
Lentils (masur),KG,140.5,BDT
Chili (green),KG,290.0,BDT
"Onions (imported, China)",KG,115.75,BDT
Papaya (green),KG,27.5,BDT
Spinach (malabar),KG,25.0,BDT
"Potatoes (Holland, white)",KG,52.0,BDT
Rice (coarse),KG,47.0,BDT
Wheat flour,KG,45.5,BDT
"Meat (chicken, broiler)",KG,182.5,BDT
Oil (palm),L,147.75,BDT
"Oil (soybean, fortified)",L,158.25,BDT
Bananas (ripe),1 piece,4.38,BDT
Chili (green),KG,235.0,BDT
"Garlic (imported, China)",KG,210.0,BDT
Gourd (bottle),KG,45.0,BDT
"Onions (imported, China)",KG,103.75,BDT
Papaya (green),KG,26.25,BDT
Snake gourd,KG,55.0,BDT
Spinach (malabar),KG,35.0,BDT
Spinach (red),KG,46.25,BDT
Rice (coarse),KG,55.5,BDT
Eggs (brown),1 piece,12.94,BDT
"Fish (live, pangasius)",KG,162.5,BDT
"Meat (chicken, broiler)",KG,172.0,BDT
Sugar,KG,131.75,BDT
"Oil (soybean, fortified)",L,161.0,BDT
Lentils (masur),KG,109.0,BDT
Bananas (ripe),1 piece,5.0,BDT
Chili (green),KG,272.5,BDT
"Garlic (imported, China)",KG,225.0,BDT
"Onions (imported, China)",KG,97.5,BDT
Papaya (green),KG,20.0,BDT
Snake gourd,KG,51.25,BDT
Spinach (malabar),KG,17.5,BDT
Spinach (red),KG,32.5,BDT
Rice (coarse),KG,45.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,127.5,BDT
Oil (palm),L,124.5,BDT
Lentils (masur),KG,107.5,BDT
Chili (green),KG,186.25,BDT
"Garlic (imported, China)",KG,230.0,BDT
Gourd (bottle),KG,40.0,BDT
Spinach (malabar),KG,25.0,BDT
Spinach (red),KG,37.5,BDT
Rice (coarse),KG,48.25,BDT
Eggs (brown),1 piece,13.0,BDT
"Fish (live, pangasius)",KG,150.0,BDT
Oil (palm),L,150.0,BDT
"Oil (soybean, fortified)",L,158.5,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,212.5,BDT
Gourd (bottle),KG,36.25,BDT
Spinach (malabar),KG,25.0,BDT
Spinach (red),KG,60.0,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,175.0,BDT
Sugar,KG,126.0,BDT
"Oil (soybean, fortified)",L,157.5,BDT
Lentils (masur),KG,112.5,BDT
Bananas (ripe),1 piece,4.5,BDT
Gourd (bottle),KG,57.5,BDT
Snake gourd,KG,56.25,BDT
Spinach (malabar),KG,28.25,BDT
Spinach (red),KG,35.0,BDT
Rice (coarse),KG,50.0,BDT
Wheat flour,KG,52.0,BDT
Eggs (brown),1 piece,13.0,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,183.75,BDT
Sugar,KG,127.75,BDT
Oil (palm),L,153.75,BDT
"Oil (soybean, fortified)",L,157.25,BDT
Gourd (bottle),KG,45.0,BDT
Papaya (green),KG,30.0,BDT
Spinach (red),KG,42.5,BDT
Wheat flour,KG,52.5,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,151.25,BDT
"Oil (soybean, fortified)",L,158.25,BDT
Lentils (masur),KG,115.0,BDT
Chili (green),KG,235.0,BDT
"Garlic (imported, China)",KG,220.0,BDT
Gourd (bottle),KG,46.25,BDT
"Onions (imported, China)",KG,98.75,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,50.0,BDT
Spinach (red),KG,30.0,BDT
Rice (coarse),KG,51.0,BDT
Wheat flour,KG,49.0,BDT
Eggs (brown),1 piece,13.19,BDT
"Fish (live, pangasius)",KG,200.0,BDT
"Meat (chicken, broiler)",KG,185.0,BDT
Sugar,KG,127.5,BDT
Oil (palm),L,147.0,BDT
"Oil (soybean, fortified)",L,155.0,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,3.75,BDT
Chili (green),KG,212.5,BDT
"Garlic (imported, China)",KG,230.0,BDT
Gourd (bottle),KG,47.5,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,56.25,BDT
Spinach (malabar),KG,27.5,BDT
Rice (coarse),KG,47.75,BDT
Wheat flour,KG,48.25,BDT
Eggs (brown),1 piece,13.0,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,127.75,BDT
Lentils (masur),KG,107.5,BDT
Chili (green),KG,230.0,BDT
"Garlic (imported, China)",KG,207.5,BDT
Gourd (bottle),KG,35.0,BDT
"Onions (imported, China)",KG,97.5,BDT
Papaya (green),KG,25.0,BDT
Rice (coarse),KG,47.75,BDT
Eggs (brown),1 piece,12.75,BDT
"Meat (chicken, broiler)",KG,40.0,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,153.25,BDT
"Oil (soybean, fortified)",L,161.0,BDT
"Garlic (imported, China)",KG,227.5,BDT
"Onions (imported, China)",KG,96.0,BDT
Spinach (malabar),KG,24.0,BDT
Wheat flour,KG,48.75,BDT
Eggs (brown),1 piece,12.69,BDT
Sugar,KG,127.5,BDT
"Oil (soybean, fortified)",L,161.25,BDT
Lentils (masur),KG,105.0,BDT
"Garlic (imported, China)",KG,220.0,BDT
"Onions (imported, China)",KG,103.75,BDT
Papaya (green),KG,32.5,BDT
Spinach (malabar),KG,27.5,BDT
Spinach (red),KG,31.0,BDT
Wheat flour,KG,52.0,BDT
Eggs (brown),1 piece,12.31,BDT
"Meat (chicken, broiler)",KG,181.75,BDT
Sugar,KG,128.25,BDT
Oil (palm),L,144.5,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,225.0,BDT
Gourd (bottle),KG,30.0,BDT
"Onions (imported, China)",KG,91.0,BDT
Spinach (malabar),KG,25.0,BDT
Spinach (red),KG,36.0,BDT
"Potatoes (Holland, white)",KG,48.75,BDT
Rice (coarse),KG,53.75,BDT
Eggs (brown),1 piece,13.38,BDT
"Fish (live, pangasius)",KG,155.0,BDT
Sugar,KG,127.5,BDT
Oil (palm),L,124.0,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,152.5,BDT
Gourd (bottle),KG,36.25,BDT
Papaya (green),KG,23.25,BDT
Snake gourd,KG,41.25,BDT
Spinach (malabar),KG,22.5,BDT
Spinach (red),KG,22.5,BDT
Eggs (brown),1 piece,13.0,BDT
"Fish (live, pangasius)",KG,152.5,BDT
"Meat (chicken, broiler)",KG,181.25,BDT
Oil (palm),L,145.75,BDT
"Oil (soybean, fortified)",L,159.0,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,186.25,BDT
"Garlic (imported, China)",KG,225.0,BDT
Gourd (bottle),KG,37.5,BDT
"Onions (imported, China)",KG,95.0,BDT
Papaya (green),KG,30.5,BDT
Snake gourd,KG,40.0,BDT
Spinach (malabar),KG,27.5,BDT
Spinach (red),KG,37.5,BDT
Rice (coarse),KG,47.75,BDT
Wheat flour,KG,53.5,BDT
Eggs (brown),1 piece,13.0,BDT
"Meat (chicken, broiler)",KG,178.75,BDT
Lentils (masur),KG,110.0,BDT
Bananas (ripe),1 piece,4.38,BDT
"Garlic (imported, China)",KG,215.0,BDT
"Onions (imported, China)",KG,101.25,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,35.0,BDT
Spinach (malabar),KG,20.0,BDT
Spinach (red),KG,25.0,BDT
Rice (coarse),KG,47.5,BDT
Wheat flour,KG,50.0,BDT
"Fish (live, pangasius)",KG,180.0,BDT
"Meat (chicken, broiler)",KG,175.0,BDT
Sugar,KG,128.5,BDT
Oil (palm),L,147.5,BDT
"Oil (soybean, fortified)",L,159.25,BDT
Lentils (masur),KG,112.5,BDT
Bananas (ripe),1 piece,5.25,BDT
Chili (green),KG,245.0,BDT
Gourd (bottle),KG,37.0,BDT
"Onions (imported, China)",KG,100.0,BDT
Papaya (green),KG,21.0,BDT
Snake gourd,KG,34.25,BDT
Spinach (malabar),KG,22.0,BDT
Spinach (red),KG,22.5,BDT
Rice (coarse),KG,50.0,BDT
Wheat flour,KG,50.75,BDT
Eggs (brown),1 piece,14.19,BDT
"Meat (chicken, broiler)",KG,173.75,BDT
Oil (palm),L,145.0,BDT
"Oil (soybean, fortified)",L,166.0,BDT
Lentils (masur),KG,107.5,BDT
Gourd (bottle),KG,70.0,BDT
Snake gourd,KG,70.0,BDT
Spinach (malabar),KG,40.0,BDT
Spinach (red),KG,46.25,BDT
Rice (coarse),KG,52.25,BDT
Wheat flour,KG,48.25,BDT
Sugar,KG,129.25,BDT
"Oil (soybean, fortified)",L,164.75,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,230.0,BDT
"Garlic (imported, China)",KG,203.75,BDT
Gourd (bottle),KG,55.0,BDT
"Onions (imported, China)",KG,90.0,BDT
Snake gourd,KG,66.25,BDT
Spinach (malabar),KG,42.5,BDT
Spinach (red),KG,51.25,BDT
"Potatoes (Holland, white)",KG,56.75,BDT
Rice (coarse),KG,47.75,BDT
Wheat flour,KG,55.0,BDT
"Fish (live, pangasius)",KG,152.5,BDT
"Meat (chicken, broiler)",KG,193.75,BDT
Sugar,KG,119.75,BDT
Oil (palm),L,136.0,BDT
"Oil (soybean, fortified)",L,165.25,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,315.0,BDT
Gourd (bottle),KG,82.5,BDT
"Onions (imported, China)",KG,105.0,BDT
Papaya (green),KG,36.25,BDT
Spinach (malabar),KG,37.5,BDT
"Potatoes (Holland, white)",KG,54.0,BDT
Rice (coarse),KG,53.0,BDT
Wheat flour,KG,59.25,BDT
Eggs (brown),1 piece,13.75,BDT
"Fish (live, pangasius)",KG,147.5,BDT
"Meat (chicken, broiler)",KG,182.5,BDT
Oil (palm),L,142.5,BDT
"Oil (soybean, fortified)",L,165.0,BDT
Lentils (masur),KG,132.5,BDT
Bananas (ripe),1 piece,6.25,BDT
Chili (green),KG,247.5,BDT
"Garlic (imported, China)",KG,220.0,BDT
Gourd (bottle),KG,70.0,BDT
"Onions (imported, China)",KG,102.5,BDT
Papaya (green),KG,33.75,BDT
Snake gourd,KG,57.5,BDT
Spinach (malabar),KG,50.0,BDT
Spinach (red),KG,62.5,BDT
"Potatoes (Holland, white)",KG,67.8,BDT
Eggs (brown),1 piece,11.9,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
Sugar,KG,129.0,BDT
"Oil (soybean, fortified)",L,165.0,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,127.5,BDT
"Garlic (imported, China)",KG,242.0,BDT
Gourd (bottle),KG,45.0,BDT
Papaya (green),KG,45.0,BDT
Spinach (red),KG,41.8,BDT
Rice (coarse),KG,59.0,BDT
Wheat flour,KG,49.0,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,153.0,BDT
"Oil (soybean, fortified)",L,171.8,BDT
Lentils (masur),KG,112.5,BDT
Chili (green),KG,130.0,BDT
"Garlic (imported, China)",KG,300.0,BDT
Gourd (bottle),KG,50.0,BDT
"Onions (imported, China)",KG,101.3,BDT
Spinach (malabar),KG,40.0,BDT
Spinach (red),KG,48.8,BDT
Rice (coarse),KG,53.3,BDT
Eggs (brown),1 piece,12.3,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Meat (chicken, broiler)",KG,181.3,BDT
Oil (palm),L,163.3,BDT
Chili (green),KG,113.8,BDT
"Garlic (imported, China)",KG,295.0,BDT
"Onions (imported, China)",KG,105.0,BDT
Snake gourd,KG,55.0,BDT
"Potatoes (Holland, white)",KG,65.0,BDT
Rice (coarse),KG,54.0,BDT
Wheat flour,KG,53.0,BDT
"Meat (chicken, broiler)",KG,170.0,BDT
Sugar,KG,131.0,BDT
Oil (palm),L,165.0,BDT
"Oil (soybean, fortified)",L,171.3,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,118.8,BDT
"Garlic (imported, China)",KG,255.0,BDT
Gourd (bottle),KG,50.0,BDT
Papaya (green),KG,35.0,BDT
Spinach (malabar),KG,32.5,BDT
Rice (coarse),KG,52.5,BDT
Wheat flour,KG,54.5,BDT
Eggs (brown),1 piece,12.5,BDT
"Fish (live, pangasius)",KG,205.0,BDT
"Meat (chicken, broiler)",KG,170.0,BDT
Sugar,KG,131.0,BDT
Oil (palm),L,154.5,BDT
Lentils (masur),KG,127.5,BDT
"Garlic (imported, China)",KG,400.0,BDT
"Onions (imported, China)",KG,105.8,BDT
Snake gourd,KG,59.0,BDT
Spinach (red),KG,67.5,BDT
"Potatoes (Holland, white)",KG,65.0,BDT
Wheat flour,KG,53.5,BDT
Eggs (brown),1 piece,12.4,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
Oil (palm),L,159.8,BDT
"Oil (soybean, fortified)",L,167.0,BDT
Chili (green),KG,126.3,BDT
Gourd (bottle),KG,51.3,BDT
"Onions (imported, China)",KG,105.0,BDT
Papaya (green),KG,40.0,BDT
Snake gourd,KG,55.0,BDT
Spinach (malabar),KG,20.0,BDT
"Potatoes (Holland, white)",KG,65.0,BDT
Wheat flour,KG,50.0,BDT
Eggs (brown),1 piece,12.8,BDT
"Meat (chicken, broiler)",KG,178.8,BDT
Sugar,KG,128.0,BDT
Oil (palm),L,156.8,BDT
"Oil (soybean, fortified)",L,165.0,BDT
Chili (green),KG,142.5,BDT
"Garlic (imported, China)",KG,360.0,BDT
"Onions (imported, China)",KG,104.0,BDT
Papaya (green),KG,62.5,BDT
"Potatoes (Holland, white)",KG,68.3,BDT
"Meat (chicken, broiler)",KG,168.8,BDT
"Oil (soybean, fortified)",L,165.5,BDT
Chili (green),KG,115.0,BDT
Gourd (bottle),KG,55.0,BDT
"Onions (imported, China)",KG,104.5,BDT
Papaya (green),KG,65.0,BDT
Snake gourd,KG,51.3,BDT
Spinach (malabar),KG,33.8,BDT
Spinach (red),KG,36.3,BDT
"Potatoes (Holland, white)",KG,68.0,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,12.1,BDT
"Fish (live, pangasius)",KG,195.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
"Oil (soybean, fortified)",L,162.8,BDT
Bananas (ripe),1 piece,4.4,BDT
Chili (green),KG,155.0,BDT
"Garlic (imported, China)",KG,208.0,BDT
"Onions (imported, China)",KG,100.3,BDT
Snake gourd,KG,50.0,BDT
"Potatoes (Holland, white)",KG,35.0,BDT
Rice (Kajla),KG,60.0,BDT
Eggs (white),1 piece,11.0,BDT
"Fish (dry, belt 10-12"")",KG,490.0,BDT
"Fish (live, pangasius)",KG,210.0,BDT
"Fish (live, tilapia)",KG,220.0,BDT
Milk,L,110.0,BDT
Milk (powder),500 G,420.0,BDT
"Chili (whole, dry, Indian Teja)",KG,142.5,BDT
Hyacinth (sim),KG,150.0,BDT
"Salt (iodized, Molla)",KG,35.0,BDT
Sugar,KG,75.0,BDT
Bathing soap,1 piece,25.0,BDT
Dishwashing liquid,1 piece,130.0,BDT
Firewood,KG,14.0,BDT
Fuel (diesel),L,113.5,BDT
Fuel (gas),12 KG,1643.75,BDT
Fuel (kerosene),L,106.0,BDT
Fuel (petrol),L,140.0,BDT
Handwash soap,1 piece,102.5,BDT
Laundry detergent,1 piece,75.0,BDT
Toilet paper,1 Roll,35.0,BDT
Oil (mustard),L,280.0,BDT
Oil (palm),L,120.0,BDT
"Oil (soybean, fortified)",L,60.0,BDT
"Beans (mung, large grain)",KG,60.0,BDT
Chickpeas,KG,170.0,BDT
Lentils (masur),KG,45.0,BDT
Apples (royal gala),KG,350.0,BDT
Bananas (green),1 piece,15.0,BDT
Bananas (ripe),1 piece,9.25,BDT
Cabbage,KG,77.5,BDT
Carrots,KG,185.0,BDT
Cauliflower,KG,80.0,BDT
Chili (green),KG,230.0,BDT
"Cucumber (short, khira)",KG,70.0,BDT
"Garlic (imported, China)",KG,125.0,BDT
Ginger (local),KG,360.0,BDT
Gourd (bitter),KG,82.5,BDT
Oranges (malta),KG,340.0,BDT
Papaya (green),KG,58.75,BDT
Pumpkin,KG,60.0,BDT
Spinach (malabar),KG,20.0,BDT
Tomatoes (red),KG,200.0,BDT
Wheat flour,KG,50.5,BDT
Eggs (brown),1 piece,12.9,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,182.3,BDT
Sugar,KG,128.0,BDT
Oil (palm),L,166.3,BDT
"Oil (soybean, fortified)",L,175.8,BDT
Lentils (masur),KG,137.5,BDT
Bananas (ripe),1 piece,6.5,BDT
Chili (green),KG,117.5,BDT
"Garlic (imported, China)",KG,222.5,BDT
"Onions (imported, China)",KG,105.0,BDT
Papaya (green),KG,45.0,BDT
Rice (coarse),KG,51.3,BDT
Eggs (brown),1 piece,12.9,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,182.3,BDT
Oil (palm),L,166.3,BDT
"Oil (soybean, fortified)",L,175.8,BDT
Lentils (masur),KG,137.5,BDT
Bananas (ripe),1 piece,6.5,BDT
"Garlic (imported, China)",KG,222.5,BDT
"Onions (imported, China)",KG,105.0,BDT
Snake gourd,KG,65.0,BDT
"Potatoes (Holland, white)",KG,62.5,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,12.8,BDT
"Fish (live, pangasius)",KG,175.0,BDT
Sugar,KG,127.5,BDT
Oil (palm),L,142.5,BDT
Lentils (masur),KG,105.0,BDT
Bananas (ripe),1 piece,5.6,BDT
Chili (green),KG,157.5,BDT
Papaya (green),KG,55.0,BDT
Snake gourd,KG,62.5,BDT
Spinach (malabar),KG,32.5,BDT
Spinach (red),KG,27.5,BDT
"Potatoes (Holland, white)",KG,65.8,BDT
Rice (BRRI-28),KG,67.0,BDT
Wheat flour,KG,55.8,BDT
Eggs (brown),1 piece,13.3,BDT
Eggs (white),1 piece,13.5,BDT
"Fish (dry, belt 10-12"")",KG,480.0,BDT
"Fish (live, tilapia)",KG,220.0,BDT
Meat (beef),KG,700.0,BDT
"Meat (chicken, broiler)",KG,192.5,BDT
"Meat (chicken, sonali)",KG,280.0,BDT
Milk (powder),500 G,415.0,BDT
"Chili (whole, dry, Indian Teja)",KG,340.0,BDT
Hyacinth (sim),KG,120.0,BDT
"Salt (iodized, Molla)",KG,40.0,BDT
Dishwashing liquid,1 piece,130.0,BDT
Fuel (gas),12 KG,1480.0,BDT
Fuel (kerosene),L,115.0,BDT
Handwash soap,1 piece,100.0,BDT
Laundry detergent,1 piece,75.0,BDT
Sanitary pads,10 pcs,110.0,BDT
Toilet paper,1 Roll,35.0,BDT
Toothpaste,1 piece,100.0,BDT
Oil (mustard),L,220.0,BDT
Oil (palm),L,157.0,BDT
"Beans (mung, large grain)",KG,140.0,BDT
Chickpeas,KG,130.0,BDT
Apples (royal gala),KG,270.0,BDT
Bananas (green),1 piece,13.0,BDT
Cabbage,KG,70.0,BDT
Cauliflower,KG,120.0,BDT
Chili (green),KG,97.0,BDT
"Cucumber (short, khira)",KG,50.0,BDT
Eggplants,KG,70.0,BDT
"Garlic (imported, China)",KG,221.3,BDT
Ginger (imported),KG,220.0,BDT
Gourd (bitter),KG,80.0,BDT
Gourd (bottle),KG,56.3,BDT
Lemon (medium size),1 piece,7.0,BDT
"Onions (imported, China)",KG,106.8,BDT
"Onions (imported, India)",KG,170.0,BDT
Oranges (malta),KG,290.0,BDT
Papaya (green),KG,40.8,BDT
Pumpkin,KG,50.0,BDT
Snake gourd,KG,42.5,BDT
Spinach (malabar),KG,15.0,BDT
Spinach (red),KG,42.5,BDT
Tomatoes (red),KG,160.0,BDT
"Potatoes (Holland, white)",KG,60.0,BDT
Rice (BRRI-28),KG,67.0,BDT
Rice (Gazi),KG,49.0,BDT
Wheat flour,KG,55.0,BDT
"Fish (dry, belt 10-12"")",KG,400.0,BDT
"Fish (live, tilapia)",KG,230.0,BDT
Meat (beef),KG,750.0,BDT
Milk,L,115.0,BDT
Milk (powder),500 G,415.0,BDT
"Chili (whole, dry, Indian Teja)",KG,400.0,BDT
Sugar,KG,130.0,BDT
"Turmeric (powder, Fresh)",KG,280.0,BDT
Bathing soap,1 piece,55.0,BDT
Dishwashing liquid,1 piece,130.0,BDT
Firewood,KG,15.0,BDT
Fuel (diesel),L,115.0,BDT
Fuel (kerosene),L,115.0,BDT
Fuel (petrol),L,125.0,BDT
Laundry detergent,1 piece,75.0,BDT
Sanitary pads,10 pcs,110.0,BDT
Toilet paper,1 Roll,30.0,BDT
Toothpaste,1 piece,110.0,BDT
Oil (palm),L,160.0,BDT
"Oil (soybean, fortified)",L,165.0,BDT
Chickpeas,KG,130.0,BDT
Lentils (masur),KG,110.0,BDT
Apples (royal gala),KG,320.0,BDT
Bananas (ripe),1 piece,7.0,BDT
Cabbage,KG,75.0,BDT
Carrots,KG,40.0,BDT
"Cucumber (short, khira)",KG,120.0,BDT
Eggplants,KG,70.0,BDT
Ginger (local),KG,220.0,BDT
